index,sentence,谓语数目,非谓语数目,副词个数,从句个数,插入语个数,复合句,简单句,并列句,被动,连词,label
1,"Protein structure prediction has been an important research
problem in structural biology for over 50 years.",1,0,0,0,0,0,1,0,0,0,0
2," Predicting the three-dimensional structure of a protein directly from its amino acid sequence has a wide range of applications in
many fields, including drug design, protein design, etc.",1,2,1,0,0,0,1,0,0,0,0
3,"Both experimental and computational approaches can be used to
predict protein structure.",1,1,0,0,0,0,1,0,1,1,0
4," The experimental approach allows
for more accurate protein structures at the high cost of time
and finance.",1,0,0,0,0,0,1,1,0,1,0
5,"The computational approach can predict protein
structure with high throughput at a low cost, so it is of
paramount importance to improve the prediction accuracy for
the computational approaches.",2,1,0,0,0,0,0,1,0,1,0
6,"The recent success of deep neural networks has led to
the widespread use of Artificial Intelligence in a variety of
domains, including Computer Vision (CV), Natural Language
Processing (NLP), Recommendation Systems, etc.",1,1,0,0,0,0,1,0,0,0,0
7," Convolutional Neural Networks (CNN) were introduced to the field
of protein structure prediction by AlphaFold [1], RaptorXContact [2].",1,0,0,0,0,0,1,0,1,0,0
8," These CNN models achieved significant performance improvement in the Critical Assessment of Protein
Structure Prediction (CASP) Challenge.",1,0,0,0,0,0,1,0,0,0,0
9," It has demonstrated
that deep neural networks can be an efficient solution to the
challenge of protein structure prediction.",1,0,0,1,0,1,0,0,0,0,0
10,"Meanwhile, because of the superior performance of Multihead Attention for sequence modelling [3], Transformer has
made a huge performance improvement in the NLP/CV field
and gradually has become the mainstream model structure,
such as BERT [4], GPT [5], ViT [6].",2,0,1,0,1,0,1,1,0,1,0
11,"Designing protein sequences that fold to a given three-dimensional (3D) structure
has long been a challenging problem in computational structural biology with signifi-
cant theoretical and practical implications.",1,1,0,1,0,1,0,0,0,1,0
12,"In this study, we first formulated this prob-
lem as predicting the residue type given the 3D structural environment around the
Cα atom of a residue, which is repeated for each residue of a protein. ",1,1,1,1,1,1,0,0,1,1,0
13,"We designed a
nine-layer 3D deep convolutional neural network (CNN) that takes as input a gridded
box with the atomic coordinates and types around a residue.",1,0,0,1,0,1,0,0,0,1,0
14,"Several CNN layers
were designed to capture structure information at different scales, such as bond
lengths, bond angles, torsion angles, and secondary structures.",1,1,0,0,0,0,1,0,0,0,0
15,"Trained on a very
large number of protein structures, the method, called ProDCoNN (protein design
with CNN), achieved state-of-the-art performance when tested on large numbers of
test proteins and benchmark datasets",1,3,0,3,0,1,0,0,3,1,0
16,"As “machines of life,” proteins play crucial roles in almost all cellular
processes, such as transcription, translation, signaling, and cell cycle
control",1,0,0,0,0,0,1,0,0,0,0
17,"Computational protein design (CPD) is a technique by which
proteins are computationally designed for specific structure and/or
functions",1,0,1,1,0,1,0,0,1,1,0
18,"Significant progress in CPD has been made in the past few
decades1 such as enzymes design2-8 and membrane protein
design.9,10",1,0,0,0,0,0,1,0,1,0,0
19,There are several different sub-problems in CPD. ,1,0,0,0,0,0,1,0,0,0,0
