index,sentence,谓语数目,非谓语数目,副词个数,从句个数,插入语个数,复合句,简单句,并列句,被动,连词,label
1,"Language model pre-training has been shown to
be effective for improving many natural language
processing tasks (Dai and Le, 2015; Peters et al.,
2018a; Radford et al., 2018; Howard and Ruder,
2018).",1,2,0,0,0,0,1,0,1,0,1
2,"These include sentence-level tasks such as
natural language inference (Bowman et al., 2015;
Williams et al., 2018) and paraphrasing (Dolan
and Brockett, 2005), which aim to predict the relationships between sentences by analyzing them
holistically, as well as token-level tasks such as
named entity recognition and question answering,
where models are required to produce fine-grained
output at the token level (Tjong Kim Sang and
De Meulder, 2003; Rajpurkar et al., 2016).",1,3,1,2,0,1,0,1,0,1,1
3,There are two existing strategies for applying pre-trained language representations to down stream tasks: feature-based and fine-tuning.,1,2,0,0,0,0,1,0,0,1,1
4,"The feature-based approach, such as ELMo (Peters
et al., 2018a), uses task-specific architectures that
include the pre-trained representations as additional features.",1,0,0,1,1,1,0,0,0,0,1
5,"The fine-tuning approach, such as
the Generative Pre-trained Transformer (OpenAI
GPT) (Radford et al., 2018), introduces minimal
task-specific parameters, and is trained on the
downstream tasks by simply fine-tuning all pretrained parameters.",2,1,1,0,1,0,0,1,1,1,1
6,"The two approaches share the
same objective function during pre-training, where
they use unidirectional language models to learn
general language representations.",1,1,0,1,0,1,0,0,0,0,1
7,"We argue that current techniques restrict the
power of the pre-trained representations, especially for the fine-tuning approaches.",1,0,1,1,1,1,0,0,0,0,1
8,"The major limitation is that standard language models are
unidirectional, and this limits the choice of architectures that can be used during pre-training.",2,0,0,2,0,1,0,1,1,0,1
9," For example, in OpenAI GPT, the authors use a left-toright architecture, where every token can only attend to previous tokens in the self-attention layers
of the Transformer (Vaswani et al., 2017).",1,0,1,1,2,1,0,0,0,1,1
10,"Such restrictions are sub-optimal for sentence-level tasks,
and could be very harmful when applying finetuning based approaches to token-level tasks such
as question answering, where it is crucial to incorporate context from both directions.",2,3,0,2,0,1,0,1,0,1,1
11,"Recurrent neural networks, long short-term memory [13] and gated recurrent [7] neural networks
in particular, have been firmly established as state of the art approaches in sequence modeling and transduction problems such as language modeling and machine translation [35, 2, 5].",1,0,1,0,1,0,0,1,1,3,1
12,"Numerous
efforts have since continued to push the boundaries of recurrent language models and encoder-decoder
architectures [38, 24, 15].",1,1,0,0,0,0,1,0,0,1,1
13,"Recurrent models typically factor computation along the symbol positions of the input and output
sequences.",1,0,1,0,0,0,1,0,0,1,1
14," Aligning the positions to steps in computation time, they generate a sequence of hidden
states ht, as a function of the previous hidden state ht−1 and the input for position t.",1,1,0,0,2,0,1,0,0,1,1
15," This inherently
sequential nature precludes parallelization within training examples, which becomes critical at longer
sequence lengths, as memory constraints limit batching across examples.",1,0,1,1,1,1,0,0,0,0,1
16,"Recent work has achieved
significant improvements in computational efficiency through factorization tricks [21] and conditional
computation [32], while also improving model performance in case of the latter.",1,0,0,1,0,1,0,0,0,1,1
17,"The fundamental
constraint of sequential computation, however, remains.",1,0,0,0,1,0,1,0,0,1,1
18,"Attention mechanisms have become an integral part of compelling sequence modeling and transduction models in various tasks, allowing modeling of dependencies without regard to their distance in the input or output sequences [2, 19]. ",1,2,0,0,0,0,1,0,0,1,1
19," In all but a few cases [27], however, such attention mechanisms
are used in conjunction with a recurrent network.",1,0,0,0,2,0,1,0,1,1,1
20,"In this work we propose the Transformer, a model architecture eschewing recurrence and instead
relying entirely on an attention mechanism to draw global dependencies between input and output.",1,3,1,0,0,1,0,0,0,2,1
21,"There has been considerable recent progress in protein structure prediction using deep neural 
networks to infer distance constraints from amino acid residue co-evolution​1–3​.  ",1,2,0,1,0,1,0,0,0,0,1
22,"We investigated 
whether the information captured by such networks is sufficiently rich to generate new folded 
proteins with sequences unrelated to those of the naturally occuring proteins used in training the 
models. ",1,4,1,3,0,1,0,0,1,1,1
23,"We generated random amino acid sequences, and input them into the trRosetta 
structure prediction network to predict starting distance maps, which as expected are quite 
featureless.",2,1,0,1,0,1,0,1,0,1,1
24,"We then carried out Monte Carlo sampling in amino acid sequence space, 
optimizing the contrast (KL-divergence) between the distance distributions predicted by the 
network and the background distribution.  ",1,3,1,0,0,0,0,1,0,1,1
25,"Optimization from different random starting points 
resulted in a wide range of proteins with diverse sequences and all alpha, all beta sheet, and 
mixed alpha-beta structures. ",1,0,0,0,0,0,1,0,0,2,1
26,"We obtained synthetic genes encoding 129 of these network 
hallucinated sequences, expressed and purified the proteins in E coli, and found that 27 folded 
to monomeric stable structures with circular dichroism spectra consistent with the hallucinated 
structures.",4,1,0,1,0,1,0,1,0,2,1
27,"Thus deep networks trained to predict native protein structures from their sequences 
can be inverted to design new proteins, and such networks and methods should contribute, 
alongside traditional physically based models, to the de novo design of proteins with new 
functions.  ",2,3,0,1,1,1,0,1,2,1,1
28,Deep learning methods have shown considerable promise in protein engineering. ,1,0,0,0,0,0,1,0,0,0,1
29,"Networks 
with architectures borrowed from language models have been trained on amino acid 
sequences, and been used to generate new sequences without considering protein structure 
explicitly ​4,5​.  ",2,1,0,1,0,1,0,1,2,0,1
